Item Id,Location of tool,Tool Id,ToolDescription,Material Consumption Per PC,UNIT,RawMaterial Id,Dimension Raw Material
0000000001,Turret 1,1000000170,INSERT,0.08,KG,2000000000,28 
0000000001,Turret 1,1000000029,TOOL HOLDER,0.08,KG,2000000000,28 
0000000001,Turret 2,1000000293,AXIAL SPÅRSKÄR,0.08,KG,2000000000,28 
0000000001,Tool Magazine,1000000298,SPIRALBORR,0.08,KG,2000000000,28 
0000000001,Turret 1,1000000009,SKÄRHÅLLARE,0.08,KG,2000000000,28 
0000000001,Turret 2,1000000013,SKÄRHÅLLARE,0.08,KG,2000000000,28 
0000000001,Turret 2,1000000012,SKÄRHÅLLARE: SGFHL-32T33-4,0.08,KG,2000000000,28 
0000000001,Turret 2,1000000052,VÄNDSKÄR,0.08,KG,2000000000,28 
0000000001,Turret 2,1000000013,SKÄRHÅLLARE,0.08,KG,2000000000,28 
0000000001,Turret 2,1000000088,SKÄRHÅLLARE,0.08,KG,2000000000,28 
0000000001,Turret 1,1000000299,HÅLGRADARE,0.08,KG,2000000000,28 
0000000001,Turret 1,1000000300,Skär för Heule Snap Ø3.1 - Ø3.8,0.08,KG,2000000000,28 
0000000001,Turret 1,1000000295,PINNFRÄS,0.08,KG,2000000000,28 
0000000001,Tool Magazine,1000000301,BROTSCH,0.08,KG,2000000000,28 
0000000001,Turret 1,1000000023,SKÄR TCMT 16T308-UR 4315,0.08,KG,2000000000,28 
0000000001,Turret 2,1000000025,VÄNDSKÄR,0.08,KG,2000000000,28 
0000000001,Turret 2,1000000024,VÄNDSKÄR: GFN 4 IC-328,0.08,KG,2000000000,28 
0000000002,Turret 1,1000000029,TOOL HOLDER,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000029,TOOL HOLDER,0.12,KG,2000000004,25 
0000000002,Tool Magazine,1000000059,PALLETT,0.12,KG,2000000004,25 
0000000002,Tool Magazine,1000000169,SPIRALBORR,0.12,KG,2000000004,25 
0000000002,Turret 1,1000000060,BORRKROPP: DCM 115-034-16A-3D,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000350,SPIRALBORR,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000155,BORRHÅLLARE: DCM 075-037-12A-5D,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000328,BORRHUVUD: IDI 078-SG IC908,0.12,KG,2000000004,25 
0000000002,Turret 1,1000000013,SKÄRHÅLLARE,0.12,KG,2000000004,25 
0000000002,Turret 1,1000000051,BORRHUVUD: IDI 116-SG IC908,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000009,SKÄRHÅLLARE,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000012,SKÄRHÅLLARE: SGFHL-32T33-4,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000184,VÄNDSKÄR,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000013,SKÄRHÅLLARE,0.12,KG,2000000004,25 
0000000002,Tool Magazine,1000000015,FASFRÄS,0.12,KG,2000000004,25 
0000000002,Turret 1,1000000326,HÅLGRADARE,0.12,KG,2000000004,25 
0000000002,Turret 1,1000000215,Skär för Heule Snap Ø3 - Ø3.5,0.12,KG,2000000004,25 
0000000002,Turret 1,1000000038,MINI FASFRÄS AVSLIPAD,0.12,KG,2000000004,25 
0000000002,Turret 1,1000000039,INSERT,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000039,INSERT,0.12,KG,2000000004,25 
0000000002,Tool Magazine,1000000022,VÄNDSKÄR: XOMT 060204-3603 IC328,0.12,KG,2000000004,25 
0000000002,Turret 1,1000000025,VÄNDSKÄR,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000023,SKÄR TCMT 16T308-UR 4315,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000024,VÄNDSKÄR: GFN 4 IC-328,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000025,VÄNDSKÄR,0.12,KG,2000000004,25 
0000000002,Turret 2,1000000351,PENTA 17N095P000RS IC1008,0.12,KG,2000000004,25 
0000000002,Tool Magazine,1000000127,BROTSCH,0.12,KG,2000000004,25 
0000000002,Tool Magazine,1000000127,BROTSCH,0.12,KG,2000000004,25 
0000000002,Tool Magazine,1000000157,T-SPÅRSFRÄS: ETS D25.4-07-C16-06-4539,0.12,KG,2000000004,25 
0000000003,Turret 1,1000000170,INSERT,0.08,KG,2000000000,28 
0000000003,Turret 1,1000000029,TOOL HOLDER,0.08,KG,2000000000,28 
0000000003,Turret 2,1000000293,AXIAL SPÅRSKÄR,0.08,KG,2000000000,28 
0000000003,Tool Magazine,1000000298,SPIRALBORR,0.08,KG,2000000000,28 
0000000003,Turret 1,1000000009,SKÄRHÅLLARE,0.08,KG,2000000000,28 
0000000003,Turret 2,1000000009,SKÄRHÅLLARE,0.08,KG,2000000000,28 
0000000003,Turret 2,1000000012,SKÄRHÅLLARE: SGFHL-32T33-4,0.08,KG,2000000000,28 
0000000003,Turret 2,1000000052,VÄNDSKÄR,0.08,KG,2000000000,28 
0000000003,Turret 2,1000000013,SKÄRHÅLLARE,0.08,KG,2000000000,28 
0000000003,Turret 2,1000000088,SKÄRHÅLLARE,0.08,KG,2000000000,28 
0000000003,Turret 1,1000000299,HÅLGRADARE,0.08,KG,2000000000,28 
0000000003,Turret 1,1000000300,Skär för Heule Snap Ø3.1 - Ø3.8,0.08,KG,2000000000,28 
0000000003,Turret 1,1000000295,PINNFRÄS,0.08,KG,2000000000,28 
0000000003,Tool Magazine,1000000301,BROTSCH,0.08,KG,2000000000,28 
0000000003,Turret 1,1000000025,VÄNDSKÄR,0.08,KG,2000000000,28 
0000000003,Turret 2,1000000023,SKÄR TCMT 16T308-UR 4315,0.08,KG,2000000000,28 
0000000003,Turret 2,1000000024,VÄNDSKÄR: GFN 4 IC-328,0.08,KG,2000000000,28 
0000000004,Tool Magazine,1000000000,BROTSCH,0.33,KG,2000000000,28 
0000000004,Tool Magazine,1000000001,BROTSCH,0.33,KG,2000000000,28 
0000000004,Turret 2,1000000042,SPÅRSKÄR,0.33,KG,2000000000,28 
0000000004,Turret 1,1000000003,SKÄRHÅLLARE,0.33,KG,2000000000,28 
0000000004,Tool Magazine,1000000043,PALLETT,0.33,KG,2000000000,28 
0000000004,Turret 2,1000000032,SPÅRSKÄR: GDMN 808 IC808,0.33,KG,2000000000,28 
0000000004,Turret 2,1000000033,HÅLLARE: GHDR 3225-8-50141,0.33,KG,2000000000,28 
0000000004,Tool Magazine,1000000005,PINNFRÄS :ECH120 B25-6W12 IC 900,0.33,KG,2000000000,28 
0000000004,Tool Magazine,1000000006,SPIRALBORR,0.33,KG,2000000000,28 
0000000004,Turret 1,1000000007,SPIRALBORR,0.33,KG,2000000000,28 
0000000004,Turret 2,1000000008,DUBBHÅLSBORR,0.33,KG,2000000000,28 
0000000004,Turret 1,1000000009,SKÄRHÅLLARE,0.33,KG,2000000000,28 
0000000004,Turret 2,1000000009,SKÄRHÅLLARE,0.33,KG,2000000000,28 
0000000004,Turret 2,1000000044,SKÄRHÅLLARE,0.33,KG,2000000000,28 
0000000004,Turret 2,1000000045,VÄNDSKÄR,0.33,KG,2000000000,28 
